id,date,type_operation,severite,en_retard,duree_resolution_min,score_anomalie,statut
03287db5-1356-4589-a550-502bbfa7ad8d,2026-03-01 11:32:00,Helpdesk,2,False,360,0.5,resolue
1dc4858b-c770-45f3-98f1-34af8233caff,2026-03-02 07:41:00,Sécurité Opérationnelle,1,False,240,0.9,resolue
0c67294d-cdc9-4d32-8c8d-f7f2499fe66e,2026-03-02 07:57:00,SM Commercial,1,False,240,0.7,resolue
c8e5da76-c863-4579-8eec-21cb3edd41b3,2026-03-02 07:58:00,SM Commercial,1,False,360,0.7,resolue
0561237f-e7f8-4d05-901d-2fed42721469,2026-03-02 08:05:00,Sécurité Opérationnelle,2,False,120,0.6,resolue
21737939-dfb0-47c3-8394-64413f929e5e,2026-03-02 08:07:00,Intervention-sur-site-déploiement,1,False,0,0.5,resolue
d143a847-5c4a-4bb6-bbd7-36df610776cd,2026-03-02 08:09:00,Sécurité Opérationnelle,2,False,120,0.6,annulee
7d785600-a7c3-41a8-a352-354153211ac8,2026-03-02 08:13:00,SWIFT,1,False,240,0.85,resolue
8ce2f99c-dafb-4d3c-a0fe-c5b57fe98470,2026-03-02 08:14:00,Sécurité Opérationnelle,2,False,120,0.6,resolue
1e98594f-d351-4919-8c30-f1b13212b15a,2026-03-02 08:15:00,Helpdesk,1,False,600,0.8,resolue
9a044323-25f5-4d91-9f6a-eaef554d167f,2026-03-02 08:18:00,Helpdesk,1,False,600,0.8,resolue
a7bd89d3-ef7b-43d4-8611-852d447631e5,2026-03-02 08:20:00,Sécurité Opérationnelle,2,False,120,0.6,resolue
10b39eea-bdbc-4191-ba3c-48342d1d07ab,2026-03-02 08:21:00,Intervention-sur-site-déploiement,2,False,0,0.3,resolue
44360a4d-794d-490e-8384-f8437aeda6ed,2026-03-02 08:26:00,SM Commercial,1,False,360,0.7,resolue
2b10bf32-d1ea-41ad-850d-b562d2400386,2026-03-02 08:30:00,Intervention-sur-site-déploiement,2,False,240,0.4,resolue
762b9adc-25e5-42cb-933a-ca1fea0c7c27,2026-03-02 08:30:00,Sécurité Opérationnelle,2,False,360,0.8,resolue
e7ce0494-b6b5-4eec-bd1a-dd569a5443ae,2026-03-02 08:34:00,Non attribué,2,False,0,0.3,soumise
b9fad569-8ee0-48b9-8d85-2f507b184670,2026-03-02 08:34:00,Non attribué,2,False,0,0.3,soumise
348ba327-3352-4930-b971-4120665c28c9,2026-03-02 08:34:00,Non attribué,2,False,0,0.3,soumise
ab02c3d3-0e45-4784-8d0c-67491d75aae0,2026-03-02 08:34:00,Sécurité Opérationnelle,2,False,120,0.6,resolue
2ee33d8e-4a1a-4f3b-8378-0b24bffeb6a3,2026-03-02 08:36:00,Helpdesk,1,False,600,0.8,resolue
444aa3aa-9e2c-4168-aff2-f1d3f32b5827,2026-03-02 08:37:00,Intervention-sur-site-déploiement,2,True,240,0.4,resolue
b5d5dd96-7bb5-45ba-9972-f4af24cd02c4,2026-03-02 08:38:00,Intervention-sur-site-déploiement,1,True,240,0.6,resolue
